Team 1,Team 2,Date,t1_win_tf,t1_win_akkio,t1_win_player,Winner_tf,Winner_akkio,Winner_player,Correct_tf,Correct_akkio,Correct_player
Dignitas,FlyQuest,06/03/2022,0.517,0.999,0.012,Dignitas,Dignitas,FlyQuest,N,N,Y
Golden Guardians,TSM,06/03/2022,0.776,0.999,0.979,Golden Guardians,Golden Guardians,Golden Guardians,N,N,N
DRX,Nongshim RedForce,09/03/2022,0.711,0.999,0.527,DRX,DRX,Nongshim RedForce,Y,Y,N
DWG KIA,Gen.G,09/03/2022,0.443,0.001,0.867,Gen.G,Gen.G,DWG KIA,Y,Y,N
Hanwha Life Esports,KT Rolster,10/03/2022,0.459,0.488,0.999,KT Rolster,KT Rolster,KT Rolster,Y,Y,Y
Fredit BRION,Liiv SANDBOX,10/03/2022,0.578,0.499,0.0,Fredit BRION,Liiv SANDBOX,Fredit BRION,Y,N,Y
Kwangdong Freecs,T1,11/03/2022,0.172,0.001,1.0,T1,T1,T1,Y,Y,Y
DWG KIA,Nongshim RedForce,11/03/2022,0.821,0.999,0.0,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
KT Rolster,Liiv SANDBOX,12/03/2022,0.525,0.506,1.0,KT Rolster,KT Rolster,KT Rolster,Y,Y,Y
Gen.G,Hanwha Life Esports,12/03/2022,0.833,0.999,1.0,Gen.G,Gen.G,Gen.G,Y,Y,Y
Counter Logic Gaming,FlyQuest,12/03/2022,0.448,0.488,0.002,FlyQuest,FlyQuest,FlyQuest,N,N,N
100 Thieves,Golden Guardians,12/03/2022,0.746,0.999,0.987,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
Evil Geniuses,Team Liquid,12/03/2022,0.407,0.001,0.014,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
Dignitas,TSM,12/03/2022,0.687,0.51,0.722,Dignitas,Dignitas,Dignitas,Y,Y,Y
Cloud9,Immortals,12/03/2022,0.871,0.999,0.995,Cloud9,Cloud9,Cloud9,Y,Y,Y
Fredit BRION,T1,13/03/2022,0.185,0.001,0.0,T1,T1,T1,Y,Y,Y
DRX,Kwangdong Freecs,13/03/2022,0.51,0.999,1.0,DRX,DRX,Kwangdong Freecs,Y,Y,N
100 Thieves,FlyQuest,13/03/2022,0.644,0.999,0.589,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
Cloud9,Team Liquid,13/03/2022,0.56,0.005,0.523,Cloud9,Team Liquid,Cloud9,Y,N,Y
Evil Geniuses,TSM,13/03/2022,0.836,0.508,0.971,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
Dignitas,Immortals,13/03/2022,0.765,0.506,0.962,Dignitas,Dignitas,Dignitas,Y,Y,Y
Counter Logic Gaming,Golden Guardians,13/03/2022,0.343,0.001,0.194,Golden Guardians,Golden Guardians,Golden Guardians,N,N,N
Fredit BRION,Gen.G,16/03/2022,0.145,0.001,0.0,Gen.G,Gen.G,Gen.G,Y,Y,Y
KT Rolster,Nongshim RedForce,16/03/2022,0.73,0.512,1.0,KT Rolster,KT Rolster,KT Rolster,Y,Y,Y
DRX,DWG KIA,17/03/2022,0.339,0.001,1.0,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y 
Hanwha Life Esports,Kwangdong Freecs,17/03/2022,0.259,0.487,0.0,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs,Y,Y,Y
Liiv SANDBOX,T1,18/03/2022,0.005,0.001,0.0,T1,T1,T1,Y,Y,Y
Gen.G,KT Rolster,18/03/2022,0.818,0.999,0.0,Gen.G,Gen.G,KT Rolster,Y,Y,N
Hanwha Life Esports,Nongshim RedForce,19/03/2022,0.523,0.5,0.007,Hanwha Life Esports,Nongshim RedForce,Nongshim RedForce,N,Y,Y
DWG KIA,Fredit BRION,19/03/2022,0.752,1.0,1.0,DWG KIA,DWG KIA,DWG KIA,N,N,N
100 Thieves,Immortals,19/03/2022,0.857,1.0,1.0,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
Counter Logic Gaming,Team Liquid,19/03/2022,0.117,0.0,0.0,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
Cloud9,TSM,19/03/2022,0.973,1.0,1.0,Cloud9,Cloud9,Cloud9,N,N,N
Dignitas,Evil Geniuses,19/03/2022,0.559,1.0,0.381,Dignitas,Dignitas,Evil Geniuses,N,N,Y
FlyQuest,Golden Guardians,19/03/2022,0.576,0.0,0.979,FlyQuest,Golden Guardians,FlyQuest,N,Y,N
Kwangdong Freecs,Liiv SANDBOX,20/03/2022,0.821,0.5,0.0,Kwangdong Freecs,Liiv SANDBOX,Kwangdong Freecs,Y,N,Y
DRX,T1,20/03/2022,0.122,0.0,0.0,T1,T1,T1,Y,Y,Y
100 Thieves,Evil Geniuses,20/03/2022,0.626,1.0,0.991,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
Dignitas,Golden Guardians,20/03/2022,0.66,0.0,0.592,Dignitas,Golden Guardians,Dignitas,N,Y,N
FlyQuest,Team Liquid,20/03/2022,0.094,0.0,0.018,Team Liquid,Team Liquid,Team Liquid,N,N,N
Cloud9,Counter Logic Gaming,20/03/2022,0.964,1.0,1.0,Cloud9,Cloud9,Cloud9,Y,Y,Y
Immortals,TSM,20/03/2022,0.522,0.5,0.665,Immortals,Immortals,TSM,N,N,Y
DWG KIA,Fredit BRION,23/03/2022,0.628,1.0,1.0,DWG KIA,DWG KIA,DWG KIA,Y,Y,Y
DRX,Kwangdong Freecs,24/03/2022,0.3,0.5,0.0,Kwangdong Freecs,Kwangdong Freecs,Kwangdong Freecs,Y,Y,Y
Misfits Gaming,Rogue,25/03/2022,0.464,0.0,0.213,Rogue,Rogue,Rogue,Y,Y,Y
Golden Guardians,Team Liquid,25/03/2022,0.469,0.0,0.003,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
Evil Geniuses,FlyQuest,25/03/2022,0.643,1.0,0.496,Evil Geniuses,Evil Geniuses,FlyQuest,Y,Y,N
Cloud9,Dignitas,25/03/2022,0.538,1.0,0.999,Cloud9,Cloud9,Cloud9,Y,Y,Y
Counter Logic Gaming,Immortals,25/03/2022,0.5,0.5,0.658,Counter Logic Gaming,Immortals,Counter Logic Gaming,Y,N,Y
100 Thieves,TSM,25/03/2022,0.926,1.0,1.0,100 Thieves,100 Thieves,100 Thieves,Y,Y,Y
Fnatic,G2 Esports,26/03/2022,0.50011,1.0,0.37673,Fnatic,Fnatic,Fnatic,Y,Y,Y
Kwangdong Freecs,T1,26/03/2022,0.49799,0.0,0.00691,T1,T1,T1,Y,Y,Y
Dignitas,Team Liquid,26/03/2022,0.4232,0.0,0.00585,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
Evil Geniuses,Golden Guardians,26/03/2022,0.60939,0.0,0.71096,Evil Geniuses,Golden Guardians,Evil Geniuses,N,Y,N
100 Thieves,Cloud9,26/03/2022,0.49984,0.0,0.62602,Cloud9,Cloud9,100 Thieves,N,N,Y
Counter Logic Gaming,TSM,26/03/2022,0.50011,0.5,0.48827,Counter Logic Gaming,TSM,TSM,N,Y,Y
FlyQuest,Immortals,26/03/2022,0.50363,0.5,0.92381,FlyQuest,Immortals,FlyQuest,N,Y,N
Excel Esports,Team Vitality,27/03/2022,0.56802,0.0,0.76145,Excel Esports,Team Vitality,Team Vitality,N,Y,Y
DWG KIA,Gen.G,27/03/2022,0.44416,0.0,0.99999,Gen.G,Gen.G,DWG KIA,Y,Y,Y
100 Thieves,Dignitas,27/03/2022,0.75855,1.0,1.0,100 Thieves,100 Thieves,100 Thieves,N,N,N
Counter Logic Gaming,Evil Geniuses,27/03/2022,0.28514,0.0,0.00225,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
Cloud9,FlyQuest,27/03/2022,0.7456,1.0,0.99909,Cloud9,Cloud9,Cloud9,N,N,N
Golden Guardians,Immortals,27/03/2022,0.68191,1.0,0.99039,Golden Guardians,Golden Guardians,Golden Guardians,Y,Y,Y
Team Liquid,TSM,27/03/2022,0.86853,1.0,0.99999,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
G2 Esports,Team Vitality,01/04/2022,0.68658,1.0,0.45913,G2 Esports,G2 Esports,G2 Esports,Y,Y,Y
Fnatic,Rogue,02/04/2022,0.44584,1.0,0.32882,Rogue,Fnatic,Rogue,Y,N,Y
Gen.G,T1,02/04/2022,0.3978,0.0,0.0,T1,T1,T1,Y,Y,Y
100 Thieves,Cloud9,02/04/2022,0.59816,0.0,0.76656,100 Thieves,Cloud9,100 Thieves,Y,N,Y
G2 Esports,Misfits Gaming,03/04/2022,0.55851,1.0,0.55346,G2 Esports,G2 Esports,Misfits Gaming,Y,Y,N
Evil Geniuses,Team Liquid,03/04/2022,0.27902,0.0,0.26696,Team Liquid,Team Liquid,Team Liquid,Y,Y,Y
Fnatic,G2 Esports,09/04/2022,0.54853,1.0,0.45425,Fnatic,Fnatic,Fnatic,N,N,N
Cloud9,Golden Guardians,09/04/2022,0.61697,0.08907,0.1815,Cloud9,Golden Guardians,Cloud9,Y,N,Y
G2 Esports,Rogue,10/04/2022,0.19884,0.0,0.11276,Rogue,Rogue,Rogue,N,N,N
Evil Geniuses,FlyQuest,10/04/2022,0.70308,1.0,0.50019,Evil Geniuses,Evil Geniuses,Evil Geniuses,Y,Y,Y
