left_win,kills_per_game, deaths_per_game, game_length, ckpm, gpr, gspd, gd15, firstblood, firsttower, first3towers, turret_plates_per_game, harold_control_rate, firstdragon, dragon_control_rate, elder_control_rate, baron_control_rate, firstbaron, cs_share, jng_share, wards_per_minute, control_wards_purchased_per_minute, wards_cleared_per_minute,kills_per_game, deaths_per_game, game_length, ckpm, gpr, gspd, gd15, firstblood, firsttower, first3towers, turret_plates_per_game, harold_control_rate, firstdragon, dragon_control_rate, elder_control_rate, baron_control_rate, firstbaron, cs_share, jng_share, wards_per_minute, control_wards_purchased_per_minute, wards_cleared_per_minute
1,21,3,25.583333333333332,0.9381,0.5733188463483115,0.2339,4630.0,1.0,1.0,1.0,7.0,0,1.0,1.0,0.5,1.0,1.0,0.7486486486486487,0.5641025641025641,2.9316,1.211726384364821,0.7818,3,21,25.583333333333332,0.9381,0.4266811536516884,-0.2339,-4630.0,0.0,0.0,0.0,5.0,1.0,0.0,0,0.5,0.0,0.0,0.6872166817769719,0.4358974358974359,2.6189,1.1335504885993486,0.899
0,12,28,26.083333333333332,1.5335,0.44396662514581725,-0.236209,-3445.0,1.0,0.0,0.0,4.0,0.5,1.0,0.75,0.5,0.0,0.0,0.6382608695652174,0.5031847133757962,2.4153,1.1501597444089458,0.5367,28,12,26.083333333333332,1.5335,0.5560333748541827,0.236209,3445.0,0.0,1.0,1.0,8.0,0.5,0.0,0.25,0.5,1.0,1.0,0.7973231357552581,0.4968152866242038,2.5304,1.2651757188498403,1.1885
1,13,4,30.533333333333335,0.5568,0.5404081150750704,0.0523651,1300.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.5,1.0,1.0,0.7199710564399421,0.5068119891008175,3.4716,1.408296943231441,1.4083,4,13,30.533333333333335,0.5568,0.45959188492492964,-0.0523651,-1300.0,0.0,0.0,0.0,2.0,0,0.0,0,0.5,0.0,0.0,0.7442888725128961,0.49318801089918257,3.1769,1.408296943231441,1.8341
0,4,15,25.3,0.751,0.44282145325041194,-0.170673,-3097.0,0.0,0.0,0.0,1.0,0,1.0,0.25,0.5,0.0,0.0,0.7004909983633388,0.4298245614035088,2.6087,1.1462450592885376,1.3439,15,4,25.3,0.751,0.557178546749588,0.170673,3097.0,1.0,1.0,1.0,7.0,1.0,0.0,0.75,0.5,1.0,1.0,0.7447833065810594,0.5701754385964912,3.1225,1.5019762845849802,1.4229
0,5,15,29.25,0.6838,0.4531559356933555,-0.103369,382.0,1.0,1.0,1.0,5.0,0.5,0.0,0,0.5,0.0,0.0,0.6730345334313005,0.4490861618798956,4.0684,1.641025641025641,0.9231,15,5,29.25,0.6838,0.5468440643066445,0.103369,-382.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.7600896860986547,0.5509138381201044,3.1795,1.9145299145299146,2.2906
0,12,17,42.8,0.6542,0.4663189503142384,-0.07645419999999999,-4705.0,0.0,0.0,0.0,5.0,0.5,0.0,0.5714285714285714,0.5,0.3333333333333333,1.0,0.6858258928571429,0.5215605749486653,3.0841,1.2850467289719627,1.2383,16,12,42.8,0.6542,0.5336810496857616,0.07645419999999999,4705.0,1.0,1.0,1.0,12.0,0.5,1.0,0.42857142857142855,0.5,0.6666666666666666,0.0,0.7575221238938054,0.4784394250513347,3.1776,1.7289719626168225,1.4252
1,30,10,31.35,1.2759,0.5657739908367897,0.18714,849.0,0.0,0.0,1.0,3.0,0.5,0.0,0.5,0.5,1.0,1.0,0.721642310368824,0.5119047619047619,4.051,1.9138755980861244,1.5949,10,30,31.35,1.2759,0.4342260091632103,-0.18714,-849.0,1.0,1.0,0.0,6.0,0.5,1.0,0.5,0.5,0.0,0.0,0.695922598479613,0.4880952380952381,3.3493,1.5311004784688995,1.4992
1,21,5,32.333333333333336,0.8041,0.56203351640614,0.160351,2632.0,1.0,1.0,1.0,5.0,0.5,0.0,0.4,0.5,1.0,1.0,0.721763085399449,0.5391923990498813,3.3711,1.5154639175257731,2.0722,5,21,32.333333333333336,0.8041,0.43796648359386003,-0.160351,-2632.0,0.0,0.0,0.0,3.0,0.5,1.0,0.6,0.5,0.0,0.0,0.6949860724233984,0.46080760095011875,4.3918,1.4536082474226804,1.7629
0,13,25,31.666666666666668,1.2,0.43108132429444385,-0.198517,-5307.0,0.0,0.0,0.0,6.0,0,0.0,0,0.5,0.0,0.0,0.6531531531531531,0.37701149425287356,3.2211,1.3894736842105262,1.3263,25,13,31.666666666666668,1.2,0.5689186757055562,0.198517,5307.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,0.5,1.0,1.0,0.7110481586402266,0.6229885057471264,2.8737,0.7894736842105263,1.4842
0,3,14,31.3,0.5431,0.4474824119115514,-0.0677569,-901.0,0.0,0.0,0.0,3.0,1.0,0.0,0.2,0.5,0.0,0.0,0.6885865457294029,0.4317617866004963,2.9393,1.2460063897763578,0.8946,14,3,31.3,0.5431,0.5525175880884486,0.0677569,901.0,1.0,1.0,1.0,5.0,0,1.0,0.8,0.5,1.0,1.0,0.7121986851716582,0.5682382133995038,2.6837,0.9904153354632588,1.5016
